Age,Year,Death_Rate
42,2016,209.8
43,2010,216.39999
43,2011,220.5
43,2012,214.2
43,2013,210.39999
43,2014,213.10001
43,2015,216.8
43,2016,235.2
44,2010,243.39999
44,2011,237.60001
44,2012,233.39999
44,2013,232.8
44,2014,228.2
44,2015,240
44,2016,247
45,2010,257.89999
45,2011,265.20001
45,2012,255.5
45,2013,254.2
45,2014,253.7
45,2015,251.10001
45,2016,265.89999
46,2010,298.39999
46,2011,287.5
46,2012,284.10001
46,2013,284.20001
46,2014,278.79999
46,2015,283.39999
46,2016,282.70001
47,2010,324.5
47,2011,320.70001
47,2012,310.39999
47,2013,315.5
47,2014,307.5
47,2015,301.89999
47,2016,307.29999
48,2010,350.79999
48,2011,350.89999
48,2012,345.20001
48,2013,335.79999
48,2014,342.20001
48,2015,336.89999
48,2016,339.5
49,2010,386.70001
49,2011,387.79999
49,2012,375.29999
49,2013,377.79999
49,2014,369.89999
49,2015,374
49,2016,375.60001
50,2010,413.29999
50,2011,421.89999
50,2012,419.5
50,2013,413.60001
50,2014,406.79999
50,2015,404.89999
50,2016,411.5
51,2010,453.79999
51,2011,448.39999
51,2012,457.5
51,2013,457.39999
51,2014,454.89999
51,2015,446.79999
51,2016,439.20001
52,2010,494
52,2011,500.39999
52,2012,484.20001
52,2013,488.60001
52,2014,490.10001
52,2015,490.39999
52,2016,489.79999
53,2010,533.29999
53,2011,531.5
53,2012,527.79999
53,2013,522.40002
53,2014,536.79999
53,2015,537.79999
53,2016,537.40002
54,2010,571.29999
54,2011,575.09998
54,2012,570.90002
54,2013,576.20001
54,2014,566.29999
54,2015,583.09998
54,2016,586.70001
55,2010,602.40002
55,2011,623.29999
55,2012,624.79999
55,2013,624.5
55,2014,634.40002
55,2015,615.90002
55,2016,636.59998
56,2010,669.70001
56,2011,660.29999
56,2012,674.59998
56,2013,674.5
56,2014,681
56,2015,683.29999
56,2016,668.59998
57,2010,710
57,2011,715.70001
57,2012,706.79999
57,2013,725
57,2014,733.79999
57,2015,738.40002
57,2016,744.20001
58,2010,769.29999
58,2011,758.59998
58,2012,769.5
58,2013,770.90002
58,2014,785.40002
58,2015,786.29999
58,2016,790.90002
59,2010,828
59,2011,819.29999
59,2012,824.79999
59,2013,825.79999
59,2014,827
59,2015,846.29999
59,2016,856
60,2010,860
60,2011,873.20001
60,2012,887.29999
60,2013,891.79999
60,2014,900.09998
60,2015,889.90002
60,2016,915.79999
61,2010,932.29999
61,2011,918.5
61,2012,943.20001
61,2013,956.40002
61,2014,975.59998
61,2015,966.79999
61,2016,970
62,2010,998.29999
62,2011,1002.6
62,2012,1000.5
62,2013,1018.6
62,2014,1042.3
62,2015,1044.5
62,2016,1052.8
63,2010,1100.6
63,2011,1094
63,2012,1086.6
63,2013,1084.5
63,2014,1108.1
63,2015,1137
63,2016,1118.7
64,2010,1250.3
64,2011,1144.1
64,2012,1168.4
64,2013,1177.8
64,2014,1157
64,2015,1188.2
64,2016,1211.9
65,2010,1282.4
65,2011,1292.4
65,2012,1213.5
65,2013,1263.1
65,2014,1255.2
65,2015,1260.4
65,2016,1280.2
66,2010,1403.8
66,2011,1352.2
66,2012,1398.8
66,2013,1321.8
66,2014,1359.6
66,2015,1365.7
66,2016,1342.5
67,2010,1515
67,2011,1507.7
67,2012,1464.5
67,2013,1507.3
67,2014,1422
67,2015,1468.7
67,2016,1465.5
68,2010,1686.7
68,2011,1615.5
68,2012,1637.6
68,2013,1595.3
68,2014,1630.3
68,2015,1533.7
68,2016,1582.5
69,2010,1829.9
69,2011,1782.8
69,2012,1735.8
69,2013,1781.8
69,2014,1709.4
69,2015,1780.6
69,2016,1672.9
70,2010,1966.6
70,2011,1961.6
70,2012,1924.6
70,2013,1896
70,2014,1911.3
70,2015,1879.4
70,2016,1899.6
71,2010,2133.3999
71,2011,2087.5
71,2012,2102.3999
71,2013,2107
71,2014,2056.7
71,2015,2098.3
71,2016,2030.2
72,2010,2346.6001
72,2011,2314.2
72,2012,2252.8
72,2013,2283.3
72,2014,2277.2
72,2015,2256.2
72,2016,2254
73,2010,2562.3999
73,2011,2514.8
73,2012,2464.3
73,2013,2461.8
